NAME,QUANTITY,CALORIES,PROTEIN,FAT,CARBS
Samosa,One,180,3,10,22.5
Alu'r Chop,One,212.5,3,15,30
Tomato Sauce,One tablespoon,25,0.2,0,6
Mayonnaise,One tablespoon,110,0.2,10,1
Low-fat Mayonnaise,One tablespoon,45,0.2,3,1
Peanut Butter,One tablespoon,94,4,8,3
Butter,One tablespoon,100,0.1,11,0
Margarine,One tablespoon,68,0.1,7,0
Soybean Oil,One tablespoon,120,0,14,0
Olive Oil,One tablespoon,119,0,14,0
Canola Oil,One tablespoon,124,0,14,0
Mustard Oil,One tablespoon,55,0,6,0
Ghee,One tablespoon,112,0,12,0
Jelly,One tablespoon,110,0,0,28
Jam,One tablespoon,100,0,0,26
Horlicks,One tablespoon,20,0.4,0.2,3.5
Chocolate Ovaltine,One tablespoon,20,0.5,0.3,3.5
Ovaltine,One tablespoon,20,0.4,0.2,3.5
Tea with sugar and milk,One cup,26,0.5,1,4
Tea without sugar and milk,One cup,2,0,0,0.5
Coffee with sugar and milk,One cup,37,0.5,1.5,6
Coffee without sugar and milk,One cup,2,0,0,0.5
Sugar,One teaspoon,16,0,0,4
Honey,One teaspoon,22,0,0,6
Molasses,One teaspoon,25,0,0,6.5
Plain Cake,One piece,218,3,10,30
Cheesecake,One piece,1525,12.5,110,90
Fruit Cake,One piece,343,4,12.5,55
Chocolate Cake,One piece,235,4,12.5,40
Pastry,One piece,365,5,22.5,45
Ice Cream,One cup,493.5,6,22.5,45
Soft Drink,One bottle/can,150,0,0,38
Apple Juice (no sugar),One glass,117,0.5,0.3,28
Grape Juice (no sugar),One glass,154,0.7,0.5,38
Orange Juice (no sugar),One glass,95,1.5,0.3,22
Papaya Juice (no sugar),One glass,141,0.5,0.3,35
Mixed Vegetable and Fruit Juice,One glass,72,1,0.5,18
Lassi (with sugar),One glass,125,6.5,4,20
Chocolate Milkshake,One glass,900,13.5,45,135
Coconut Water,One glass,50,0.5,0.5,12
Borhani,One glass,100,6.5,4,13.5
Lemon Juice,One tablespoon,5,0.1,0,1.5
Dhakai Paneer,Two tablespoons,40,2,3,1
Mozzarella Cheese,One cup,336,28,25,2
Laddu,One,225,4.5,12.5,32.5
Rasgulla,One,150,3,8,27.5
Chomchom,One,175,3,8,32.5
Lal Mohan,One,288,3,12.5,45
Chhena Sondesh,One,120,4.5,4,17.5
Balushai,One,250,4.5,12.5,37.5
Rasmalai,Four,250,7,12.5,32.5
Large Jalebi,One,200,1.5,11,37.5
Carrot Halwa with Sugar,One bowl,330,4.5,12.5,50
Semolina Halwa,30 grams/one piece,100,1.5,5.5,17.5
Chickpea Halwa/Barfi,One piece,175,3.5,5.5,25
